date,item_name,category_name,quantity_sold_kg,unit_selling_price_rmb/kg
2021-01-01,7 colour pepper,capsicum,0.3875,18.0
2021-01-01,bell pepper,capsicum,0.25,16.0
2021-01-01,caidian quinoa artemisia,flower,0.25,19.8
2021-01-01,fresh black fungus,mushroom,0.26,14.0
2021-01-01,haixian mushroom,mushroom,0.26666666666666666,14.0
2021-01-01,jigu mushroom,mushroom,0.25,16.0
2021-01-01,the red bell pepper,capsicum,0.36,16.0
2021-01-02,7 colour pepper,capsicum,0.42500000000000004,19.8
2021-01-02,caidian quinoa artemisia,flower,0.43333333333333335,19.8
2021-01-02,fresh black fungus,mushroom,0.3,14.0
2021-01-02,haixian mushroom,mushroom,0.30000000000000004,14.0
2021-01-02,jigu mushroom,mushroom,0.2,16.0
2021-01-02,the red bell pepper,capsicum,0.4,16.0
2021-01-03,7 colour pepper,capsicum,0.5,19.8
2021-01-03,caidian quinoa artemisia,flower,0.35000000000000003,19.8
2021-01-03,fresh black fungus,mushroom,0.225,14.0
2021-01-03,haixian mushroom,mushroom,0.23333333333333336,14.0
2021-01-03,jigu mushroom,mushroom,0.35,16.0
2021-01-03,the red bell pepper,capsicum,0.425,16.0
2021-01-03,tremella,mushroom,1.0,5.9
2021-01-04,7 colour pepper,capsicum,0.5,19.8
2021-01-04,caidian quinoa artemisia,flower,0.3,19.8
2021-01-04,fresh black fungus,mushroom,0.3,14.0
2021-01-04,haixian mushroom,mushroom,0.3,14.0
2021-01-04,jigu mushroom,mushroom,0.2,16.0
2021-01-04,the red bell pepper,capsicum,0.2,16.0
2021-01-04,wild pink lotus root,aquatic,0.6399999999999999,14.0
2021-01-05,7 colour pepper,capsicum,0.35,19.8
2021-01-05,bell pepper,capsicum,0.2,16.0
2021-01-05,caidian quinoa artemisia,flower,0.3666666666666667,21.8
2021-01-05,fresh black fungus,mushroom,0.22000000000000003,14.0
2021-01-05,haixian mushroom,mushroom,0.275,14.0
2021-01-05,jigu mushroom,mushroom,0.19999999999999998,16.0
2021-01-05,the red bell pepper,capsicum,0.4,16.0
2021-01-05,wild pink lotus root,aquatic,0.5333333333333333,14.0
2021-01-06,7 colour pepper,capsicum,0.6,19.8
2021-01-06,bell pepper,capsicum,0.30000000000000004,16.0
2021-01-06,caidian quinoa artemisia,flower,0.3,25.8
2021-01-06,fresh black fungus,mushroom,0.26666666666666666,14.0
2021-01-06,haixian mushroom,mushroom,0.15000000000000002,16.0
2021-01-06,jigu mushroom,mushroom,0.26,16.0
2021-01-06,the red bell pepper,capsicum,0.3,16.0
2021-01-06,wild pink lotus root,aquatic,0.4,14.0
2021-01-07,7 colour pepper,capsicum,0.35,19.8
2021-01-07,bell pepper,capsicum,0.3333333333333333,16.0
2021-01-07,caidian quinoa artemisia,flower,0.27999999999999997,25.8
2021-01-07,fresh black fungus,mushroom,0.20000000000000004,14.0
2021-01-07,haixian mushroom,mushroom,0.18,16.0
2021-01-07,jigu mushroom,mushroom,0.125,16.0
2021-01-07,the red bell pepper,capsicum,0.3666666666666667,16.0
2021-01-08,7 colour pepper,capsicum,0.275,19.8
2021-01-08,bell pepper,capsicum,0.35,16.0
2021-01-08,caidian quinoa artemisia,flower,0.3,25.8
2021-01-08,fresh black fungus,mushroom,0.3,14.0
2021-01-08,haixian mushroom,mushroom,0.2,16.0
2021-01-08,jigu mushroom,mushroom,0.17500000000000002,16.0
2021-01-08,the red bell pepper,capsicum,0.3,16.0
2021-01-08,tremella,mushroom,1.0,5.9
2021-01-09,7 colour pepper,capsicum,0.36,19.8
2021-01-09,caidian quinoa artemisia,flower,0.2875,25.8
2021-01-09,fresh black fungus,mushroom,0.25,14.0
2021-01-09,haixian mushroom,mushroom,0.3,16.0
2021-01-09,jigu mushroom,mushroom,0.19999999999999998,16.0
2021-01-09,the red bell pepper,capsicum,0.375,16.0
2021-01-09,tremella,mushroom,1.0,5.9
2021-01-10,7 colour pepper,capsicum,0.4,19.8
2021-01-10,bell pepper,capsicum,0.3333333333333333,16.0
