item_name,category_name,cluster
green hot peppers,capsicum,0
yunnan lettuces,flower,0
xixia mushroom ,mushroom,0
paopaojiao ,capsicum,0
red hang pepper,capsicum,0
luosi pepper,capsicum,0
jigu mushroom ,mushroom,0
net lotus root ,aquatic,0
qinggengsanhua,cabbage,0
ping mushroom,mushroom,0
niushou youcai,flower,0
red pepper ,capsicum,0
the agaricus bisporus,mushroom,0
garden chrysanthemum,flower,0
zhijiang red bolt,flower,0
millet pepper,capsicum,0
bell pepper ,capsicum,0
sweet chinese cabbage,flower,0
spinach,flower,0
green line pepper,capsicum,0
yellow xincai ,flower,0
yunnan shengcai,flower,0
caixin,flower,0
shanghaiqing,flower,0
needle mushroom ,mushroom,0
fresh black fungus ,mushroom,0
eggplant ,solanum,0
apricot bao mushroom ,mushroom,0
honghu lotus root powder ,aquatic,0
water chestnut,aquatic,0
wawacai,flower,0
huangbaicai ,flower,0
haixian mushroom ,mushroom,0
the red bell pepper ,capsicum,0
7 colour pepper ,capsicum,0
green eggplant ,solanum,0
net lotus root ,aquatic,3
zhijiang red bolt,flower,3
paopaojiao ,capsicum,3
needle mushroom ,mushroom,3
spinach,flower,3
yellow xincai ,flower,3
ping mushroom,mushroom,3
garden chrysanthemum,flower,3
red pepper ,capsicum,3
green line pepper,capsicum,3
xixia mushroom ,mushroom,3
eggplant ,solanum,3
qinggengsanhua,cabbage,3
niushou youcai,flower,3
yunnan lettuces,flower,3
luosi pepper,capsicum,3
water chestnut,aquatic,3
7 colour pepper ,capsicum,3
huangbaicai ,flower,3
green eggplant ,solanum,3
caidian quinoa artemisia,flower,3
fresh black fungus ,mushroom,3
red hang pepper,capsicum,3
the red bell pepper ,capsicum,3
apricot bao mushroom ,mushroom,3
millet pepper,capsicum,3
caixin,flower,3
wawacai,flower,3
yunnan shengcai,flower,3
shanghaiqing,flower,3
haixian mushroom ,mushroom,3
the agaricus bisporus,mushroom,3
green hot peppers,capsicum,3
needle mushroom ,mushroom,1
xixia mushroom ,mushroom,1
green eggplant ,solanum,1
zhijiang red bolt,flower,1
net lotus root ,aquatic,1
paopaojiao ,capsicum,1
garden chrysanthemum,flower,1
millet pepper,capsicum,1
ping mushroom,mushroom,1
qinggengsanhua,cabbage,1
water chestnut,aquatic,1
niushou youcai,flower,1
yunnan lettuces,flower,1
honghu lotus root powder ,aquatic,1
green line pepper,capsicum,1
sweet chinese cabbage,flower,1
bell pepper ,capsicum,1
luosi pepper,capsicum,1
shanghaiqing,flower,1
caixin,flower,1
haixian mushroom ,mushroom,1
dongmenkou xiaobaicai,flower,1
apricot bao mushroom ,mushroom,1
eggplant ,solanum,1
yellow xincai ,flower,1
green hot peppers,capsicum,1
spinach,flower,1
wawacai,flower,1
